Account Name,Street Address,City,State,Country,Domain,Salesforce Account ID,Segment,2H REP,2H ISR,2H DISTRICT,DM QCV Owner,STID,DISTRICT,GEN FSR,GEN ISR,DM Roster,INDUSTRY VERTICAL,INDUSTRY SEGMENT
TARGET CORPORATION,,MINNEAPOLIS,Minnesota,,,,CORPORATE,Justice Andrew,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,97150,NORTH CENTRAL,"ELHARD,MARK","BACA,AMANDA",WHITFIELD KARA,Mfg & Dist:4,Retail
MARRIOTT VACATIONS WORLDWIDE CORPORATION,,ORLANDO,Florida,,,,CORPORATE,Jordan Megan,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,83016,NORTH EAST,"LUKE,BETTY","LUNGTOK,TENZIN",WHITFIELD KARA,Other Industries:5,Real Estate
CATHOLIC HEALTH PARTNERS,,CINCINNATI,Ohio,,,,CORPORATE,Cadieux Rich,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,62274,NEW BUSINESS,"BUXTON,JIM","STANFORD,JACQUELINE",WHITFIELD KARA,Health & Life Sciences:3,Healthcare Providers
HIG CAPITAL MANAGEMENT INC,,MIAMI,Florida,,,,CORPORATE,Hempstead Kristin,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,74538,NEW BUSINESS,"DEWBERRY,BLAKE","GALLEGOS,BEN",WHITFIELD KARA,Financial Services Industry:2,Financial Markets
PORTFOLIO LOGIC LLC -- US,,NORCROSS,Georgia,,,,CORPORATE,Hempstead Kristin,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,88158,NORTH EAST,"KUNDERT,KEN","HUBBELL,RYAN",WHITFIELD KARA,Health & Life Sciences:3,Healthcare Providers
GANNETT CO INC,,Mc Lean,Virginia,,,,CORPORATE,Jordan Megan,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,601890258,NEW BUSINESS,"BUXTON,JIM","STANFORD,JACQUELINE",WHITFIELD KARA,CME:1,Media & Entertainment
ILLINOIS AGRICULTURAL ASSOCIATION,,BLOOMINGTON,Illinois,,,,CORPORATE,Justice Andrew,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,76969,NORTH CENTRAL,"SNY,KYLE","TORRES,CAMERON",WHITFIELD KARA,Financial Services Industry:2,Insurance
MERRILL LYNCH & CO INC,,CHARLOTTE,North Carolina,,,,CORPORATE,Mock Darren,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,82720,SOUTH EAST,"THOMAS,TOM","MACDONALD,REBECCA",WHITFIELD KARA,Financial Services Industry:2,Financial Markets
SUNGARD AVAILABILITY SERVICES,,IRVING,Texas,,,,CORPORATE,Plavchak Raymond P,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,500175729,NORTH EAST,"LUKE,BETTY","LUNGTOK,TENZIN",WHITFIELD KARA,Other Industries:5,Computer Software/Services
PRAXAIR INC,,DANBURY,Connecticut,,,,CORPORATE,Stewart Chris,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,88549,NEW BUSINESS,"PETERS,BILL","ARAGON,ROMELIA",WHITFIELD KARA,Mfg & Dist:4,Process Manufacturing
ALLERGAN INC,,NEW YORK,New York,,,,CORPORATE,Taterka David,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,356022,NEW BUSINESS,"TERSIGNI,JOE","SANCHEZ,RICH",WHITFIELD KARA,Health & Life Sciences:3,Pharmaceutical
THE NEW YORK TIMES COMPANY,,NEW YORK,New York,,,,CORPORATE,Taterka David,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,98590,NEW BUSINESS,"TERSIGNI,JOE","SANCHEZ,RICH",WHITFIELD KARA,CME:1,Media & Entertainment
AURORA HEALTH CARE INC,,MILWAUKEE,Wisconsin,,,,CORPORATE,Justice Andrew,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,57146,NEW BUSINESS,"LANGMACK,TAMARA","BROWN,RENEE",WHITFIELD KARA,Health & Life Sciences:3,Healthcare Providers
EQUIFAX INC,,ATLANTA,Georgia,,,,CORPORATE,Hempstead Kristin,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,70683,NEW BUSINESS,"DEWBERRY,BLAKE","GALLEGOS,BEN",WHITFIELD KARA,Other Industries:5,Business Services
CHECKOUT HOLDING CORP,,SAN FRANCISCO,California,,,,CORPORATE,Hempstead Kristin,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,61396,SOUTH EAST,"HARMAN,KIM","JARAMILLO,TIMO",WHITFIELD KARA,Other Industries:5,Marketing/Advertising/PR
THE TIMKEN COMPANY,,CANTON,Ohio,,,,CORPORATE,Cadieux Rich,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,99565,NEW BUSINESS,"BUXTON,JIM","STANFORD,JACQUELINE",WHITFIELD KARA,Mfg & Dist:4,Discrete - Machinery
